陕西沪大餐饮连锁集团有限公司,今天,48,0,送餐员/外卖骑手,7200-13400元/月,大庆路招送餐员包车+预支,五险一金 包住 年底双薪 交通补助 加班补助 饭补 话补 冲单奖励 优秀员工奖励 半月可预支,招14人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 劳动路 西安莲湖大庆路198号莲湖区大庆路小学 查看地图,站点直招送餐员！！承诺骑手面试入职上班不需要交任何的押金！！！【任职资格】：1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录、无3.会骑电动车、熟练使用手机APP软件。4.身体健康，能办理健康证（可入职后办理）【工作地点】全西安各区域站点都可以安排（提供住宿）【工作时间】10:00-14:00，17:00-21:00，（其余时间自由安排）月休假3-4天，自由安排，可调休，【工资待遇】每单提成6--12元不等+各种补贴，夜宵补贴、大额订单补贴、远距离补贴、恶劣天气补贴、单王奖、冲单奖、工龄+工资奖+早餐补贴+优秀员工奖励+年终奖+高低温补贴等等【岗位职责】负责以站点为中心3-5公里以内的餐食订单配送，新人上岗有老骑手带跑，熟悉路线。【福利待遇】公司提供住宿、免押金租车、缴纳商业险、意外险、医疗险（可安心工作）【升职空间】送餐员——组长——副站长——站长——运营助理——城市经理【温馨提示】：有意向可以投递简历，投递简历请记得设置简历的隐私保护！！
陕西沪大餐饮连锁集团有限公司,今天,35,0,送餐员/外卖骑手,7000-13000元/月,直招聘骑手+预支+住,月结工资 不需要 饿了么 熟练驾驶电动 熟练使用导航 公司提供车 包住 五险一金 饭补 话补 加班补助 年底双薪 交通补助 工龄工资奖励 年终奖励 重量距离补贴,招17人 学历不限 经验不限，可接收应届生,西安 - 雁塔 - 永松路 西安雁塔吉祥路1号秋林公司米奇店内吉祥村小区 查看地图,任职资格】：1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录、无站点直招送餐员！！承诺骑手面试入职上班不需要交任何的押金！！！【3.会骑电动车、熟练使用手机APP软件。4.身体健康，能办理健康证（可入职后办理）【工作地点】全西安各区域站点都可以安排（提供住宿）【工作时间】10:00-14:00，17:00-21:00，（其余时间自由安排）月休假3-4天，自由安排，可调休，【工资待遇】每单提成6--12元不等+各种补贴，夜宵补贴、大额订单补贴、远距离补贴、恶劣天气补贴、单王奖、冲单奖、工龄+工资奖+早餐补贴+优秀员工奖励+年终奖+高低温补贴等等【岗位职责】负责以站点为中心3-5公里以内的餐食订单配送，新人上岗有老骑手带跑，熟悉路线。【福利待遇】公司提供住宿、免押金租车、缴纳商业险、意外险、医疗险（可安心工作）【升职空间】送餐员——组长——副站长——站长——运营助理——城市经理【温馨提示】：有意向可以投递简历，投递简历请记得设置简历护的隐私保！！
西安博耀星辉企业管理咨询有限公司,今天,4,0,送餐员/外卖骑手,8299-11566元/月,月1.2w招聘灞桥送餐员,加班补助 包住 交通补助 年底双薪 话补 提供电动车 提供宿舍,招19人 学历不限 经验不限,西安 - 浐灞 - 浐灞半岛 西安浐灞47路129路140路168路262路279路浐灞1号线浐灞半岛 查看地图,一、薪资福利1.综合月收入7000--12000元，按单计算，5-20元一单，(多劳多得，上不封顶)2.新人奖励:提供优质电瓶车;提供住宿(主城各大站点及驻点站点提供)3.各种补贴:高峰补贴+工龄补贴+车子补贴+夜宵补助+高温补贴+恶劣天气补贴+以及骑手APP上的补贴和奖励4.福利:站点不定时团建和组织的其他活动，节假日发放各种礼品及奖金二、工作内容1.到商家取餐，按时按要求送到客户位置2.配送范围三公里左右3.系统派单，不需要自己抢单三、任职资格1.无案底!!无案底!!无案底!!2.年龄在18-50岁，男女不限3.会看导航4.身体健康，能办食品级健康证四、晋开途径骑手--组长--储备站长一一副站长一一站长一一区域经理一一城市总监备注:我们是站点直招，不收取任何费用，有意向的可以投简历哦。一、薪资福利1.综合月收入7000--12000元，按单计算，5-20元一单，(多劳多得，上不封顶)2.新人奖励:提供优质电瓶车;提供住宿(主城各大站点及驻点站点提供)3.各种补贴:高峰补贴+工龄补贴+车子补贴+夜宵补助+高温补贴+恶劣天气补贴+以及骑手APP上的补贴和奖励4.福利:站点不定时团建和组织的其他活动，节假日发放各种礼品及奖金二、工作内容1.到商家取餐，按时按要求送到客户位置2.配送范围三公里左右3.系统派单，不需要自己抢单三、任职资格1.无案底!!无案底!!无案底!!2.年龄在18-50岁，男女不限3.会看导航4.身体健康，能办食品级健康证四、晋开途径骑手--组长--储备站长一一副站长一一站长一一区域经理一一城市总监备注:我们是站点直招，不收取任何费用，有意向的可以投简历哦。
苏州小袋鼠配送有限公司,今天,1,0,送餐员/外卖骑手,7450-11850元/月,招送餐员8K+配车+补贴,房补 加班补助 饭补 包住 配车住宿 高温补贴 距离补贴,招7人 学历不限 经验不限,西安 - 经开区 - 百花村 西安经开区谭家街道太华北路558号百花园 查看地图,本公司为直接招聘，意向可投递简历。骑手通过配送系统线上接单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、下午茶、宵夜、饮料、甜点等据订单信息到商家拿商品送至客户手中器）系统派单，3公里范围，公平公正，不用担心没有单！自动调度订单，接单后按照订单信息上门取餐送餐。有车辆可自带，无车辆公司可以提供。意向可投递简历！！！！！年龄要求：18-55证件要求：健康证
西安超想新能源汽车服务有限公司,今天,407,28,货运司机,7000-12000元/月,诚聘C1司机蔬菜百货配送,C1 公司提供车 面包车 短途 长途 日用品 交通补助 单量稳定 公司配车 无押金,招6人 学历不限 经验不限,西安 - 经开区 - 汉城商业街 西安经开区凤城九路明光路地铁D口文景大厦A座 查看地图,1、驾龄2年及以上，C1以上机动车驾照。2、年龄：22-56周岁。3、熟悉西安市及周边县区路况，驾驶习惯良好。4、普通话标准，五官端正，着装后外漏皮肤无明显伤疤、纹身。5、无交通肇事犯罪记录、无危险驾驶犯罪记录、无犯罪记录、无刑事拘留、无案底。6、无吸毒史、无酒后驾驶记录、无不良嗜好、 及慢性病。7、无重大交通事故、无记满12分记录。上班自由，司机可自由选择上班时间及地点，不需要每天回来本公司签到，车辆亦可放自己家保管，本工作适合全职、上班族或兼职，只要你打开手机，即可线上接单（加入即可获得平台优先派单）多劳多得。由公司提供合规车型，所有司机入职统一培训，培训内容包括软件操作，怎样提高服务分，怎样在相同时间里提高每天收入。
西安博耀星辉企业管理咨询有限公司,今天,2,0,送餐员/外卖骑手,8099-11888元/月,8小时+月8k招外卖配送,公司提供车 加班补助 包住 交通补助 年底双薪 话补 提供电动车 提供宿舍,招24人 学历不限 经验不限,西安 - 雁塔 - 小寨 西安雁塔西安市雁塔区小寨 查看地图,一、薪资福利1.综合月收入7000--12000元，按单计算，5-20元一单，(多劳多得，上不封顶)2.新人奖励:提供优质电瓶车;提供住宿(主城各大站点及驻点站点提供)3.各种补贴:高峰补贴+工龄补贴+车子补贴+夜宵补助+高温补贴+恶劣天气补贴+以及骑手APP上的补贴和奖励4.福利:站点不定时团建和组织的其他活动，节假日发放各种礼品及奖金二、工作内容1.到商家取餐，按时按要求送到客户位置2.配送范围三公里左右3.系统派单，不需要自己抢单三、任职资格1.无案底!!无案底!!无案底!!2.年龄在18-50岁，男女不限3.会看导航4.身体健康，能办食品级健康证四、晋开途径骑手--组长--储备站长一一副站长一一站长一一区域经理一一城市总监备注:我们是站点直招，不收取任何费用，有意向的可以投简历哦。一、薪资福利1.综合月收入7000--12000元，按单计算，5-20元一单，(多劳多得，上不封顶)2.新人奖励:提供优质电瓶车;提供住宿(主城各大站点及驻点站点提供)3.各种补贴:高峰补贴+工龄补贴+车子补贴+夜宵补助+高温补贴+恶劣天气补贴+以及骑手APP上的补贴和奖励4.福利:站点不定时团建和组织的其他活动，节假日发放各种礼品及奖金二、工作内容1.到商家取餐，按时按要求送到客户位置2.配送范围三公里左右3.系统派单，不需要自己抢单三、任职资格1.无案底!!无案底!!无案底!!2.年龄在18-50岁，男女不限3.会看导航4.身体健康，能办食品级健康证四、晋开途径骑手--组长--储备站长一一副站长一一站长一一区域经理一一城市总监备注:我们是站点直招，不收取任何费用，有意向的可以投简历哦。
苏州小袋鼠配送有限公司,今天,3,0,送餐员/外卖骑手,7000-14000元/月,急招外卖骑手+8K,年底双薪 交通补助 加班补助 饭补 话补 房补 五险一金 包住 商业险 冲单奖 满勤奖,招15人 学历不限 经验不限,西安 - 未央 - 玄武东路 西安未央外卖骑手配送站点 查看地图,有意向请投递简历，收到会时间和你联系！！！当天办理入职，当天上班，提供住宿，公司配车有师傅带，系统派单工作时间:1、外卖送餐员，每天需要在岗8个小时，其余时间自行安排送餐员骑手高峰时间在线:早10:00-14:00晚17:00-21:00(月休4天)2.工资:底薪3400+单价4-8元单，下雨天每单补助1.5-2.1元，夜宵单每单补助1-3元，平均每单5-8块钱左右，单量越多单价越高福利:全勤奖每月300+服务奖+车补200-400+夏季高温补贴2000左右(冬天有暖冬奖励)+年终奖2000左右+恶劣天气60天+好评奖1单+夜宵奖1单，综合工资正常干5000---6000元月，努力干7000---8000元月，使劲干9000以上(上不封顶)3、晋升机制:骑手一组长一储备站长一站长一区域经理一城市经理4、外卖送餐员公司统一为员工购买保险。5、住宿环境:2-3人一间，空调，洗衣机，淋浴间.....等职位要求:1、骑手年龄要求18-45岁左右，品行端正，无不良嗜好，无犯罪案底.2、具备快速的学习能力，会骑电瓶车，灵活的使用智能手机，熟悉使用手机地图，导航。.3、送餐员要有良好的服务意识、和服务精神。4、外卖员要吃苦耐劳，有强烈的目标感;工作职责5、所属区域内，安全，快速，友善的将餐点送至地点;温馨提示:本信息官方站点直招，有车可自带车入职，没车公司配车辆!凡不在站点面试招募中心、公司面试、总部面试均为中介，注意防范!19-45周岁优先咨询了解骑手，外卖员，送餐员，骑手，外卖员，送餐员，骑手，外卖员，送餐员，骑手，外卖员，送餐员，外卖送餐员，骑手，外卖员，送餐员，外有意向请投递简历，收到会时间和你联系！！！
北京三快到家科技有限公司（美团配送合作商）,今天,25,0,送餐员/外卖骑手,7000-9000元/月,西桃园 急招送餐员,高温补贴 远距离补助 大单补助,招16人 学历不限 经验不限,西安 - 雁塔 - 国展中心 西安雁塔雁展路1号会展中心 查看地图,无三方费用，派单制，西安超多站点覆盖，有需求可提供住宿。任职要求：1.年龄18-52周岁，性别不限；2.会骑电动车，会使用只能手机导航；3.遵纪守法，无不良记录；薪资待遇：日均40-80单，另外有距离补贴、时间补贴、天气补贴、新人补贴、大额单补贴、各种补贴；还有高额底薪、新人奖金、冲单奖金、工龄奖金等等；工作时间：8小时工作制，早班（6:00-20:00）、长白班（9:00-21:00）、夜班（23:00-2:00）可选择，其他时间可自由安排。工作内容：手机APP接取派到的订单-系统精准导航-商家取餐-餐品送达客户手中-APP点击完成订单。不熟悉路线还有老员工带跑哦！面试请携带身份证哦！
西咸新区新威沃网络科技有限公司（新威沃（美团合作商））,今天,1,0,送餐员/外卖骑手,7999-12000元/月,大明宫招外卖员配车,公司提供车 年底双薪 交通补助 加班补助 房补 包住 五险一金 0费用入职 提供车辆 入职奖励,招8人 学历不限 经验不限，可接收应届生,西安 - 经开区 - 百花村 西安经开区永庆路与永华路交叉路口北侧先锋花园 查看地图,月综合工资7000-10000元（上不封顶）日单量35-45单 月薪5500-6500（初月新手）日单量60-70单 月薪7000-8000（初级正常跑）日单量70-80单 月薪8000-10000（努力一点）每单5-10元之间吃饭高峰期跑单(2-3小时)，其余时间自由12：00—14：00 17：00—21：00晚上加班每单1元加班费月休4天车补500 房补200 话补 100 全勤200站点新人福利1500元（根据站点各有不同）工作内容：配送餐饭，奶茶，蔬菜，日常药品，在美团外卖软件上进行派单配送，自动导航配送至顾客手中，系统派单，无需抢单。前期有老师傅带跑，熟练后，自由进行配送，工作较自由。配送范围只有方圆3公里。进行无接触配送，送至小区门口和楼下均可。要求：18-50岁（未成年入不了）会骑车，会导航，会识汉字，无犯罪记录，能吃苦耐劳能长期干，打酱油的就算了。干过外卖的优先，熟悉道路的优先，心态良好。乐观的人优先。薪资：基础工资+提成+高温/补助2800~3300+新人福利1500，月工资6000以上，上不封顶+冲单奖（200-1000）+全勤奖200元
未找到数据,今天,2665,71,物业维修,3000-4000元/月,南大街建行招聘综合维修工,加班补助 五险 计件工资,招4人 中专 1-2年,西安 - 碑林 - 南大街 西安碑林南大街15号 查看地图,岗位职责：1、负责设备日常维护；2、负责对设备、设施进行安全检查；3、进行综合维修的日常工作；任职资格：1、年龄20-45周岁；2、相关工作经验2年以上；3、具有一般水暖维修经验。4、具备良好的个人素养及职业道德。有实际驾驶经验者优先考虑工作时间：08：30-17：30
重庆欧速达企业管理有限公司,今天,8,0,送餐员/外卖骑手,7000-12000元/月,送餐员 老骑手一带一,话补 0元入职 就近安排 提供车住,招20人 学历不限 经验不限,西安 - 雁塔 - 电子一路 西安雁塔长安南路东八里锦巷 查看地图,工作内容：职位要求【全城站点直招外卖骑手送餐员（新手外卖骑手可以老骑手一带一上岗培训），免费提供配车一一不收任何押金——不收取任何费用 ，零费用入职！！！工作内容：1、送餐员负责接外卖系统派的订单，按照订单信息准确及时地将餐品送到客户手中。2、配送的物品：外卖食品，配送范围三公里以内3、新员工入职，有老员工带。【招聘条件】1、18周岁-45周岁，品行端正，无案底2、有无经验均可，要求会骑电动车，会使用智能手机导航。3、公司不收取任何押金，不以任何形式扣员工工资等行为。【薪资待遇】单价6-10元/单，每天35到60单=月薪 6000-12000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 6000元左右稍微努力 8000元左右使劲干 10000元以上年轻人嘛，连一个尝试的机会都不给自己，何提奋斗一说？【工作地点】全西安就近分配站点【其他福利】（1）传统节日发放节日礼品【任职资格】1、有无经验均可，只要你会骑电动车（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）：工作时间：
上海易即达网络科技有限公司（易即达（美团合作商））,今天,40,0,送餐员/外卖骑手,8000-9500元/月,无押金+管车管住招送餐员,加班补助 年底双薪 包住 交通补助 饭补 话补 周末双休,招30人 学历不限 经验不限,青岛 - 城阳 - 家佳源 青岛城阳城阳家佳源购物中心 查看地图,公司配备电动车，新人有老骑手带。直接派单，不需抢只要你努力干，薪资万元不是梦(多劳多得上不封顶)福利待遇高温补贴、入职首月单量补贴、每月不定时举行生日派对、节日发放红包、聚餐等各项福利，公司提供带薪培训及广阔的发展、晋升空间。工作时间：早上9：30-14:00下午17:00-21.00每月休2-4天(自己任意安排，也可以连休)(送餐主要在午、晚高峰期忙碌，其它时段可休息)工作地点：分配区域就近：根据骑手住所就近安排站点公司提供住宿环境好空调洗衣机热水器。工作职责：准时安全把餐送到客户手上，配送区域是方圆3公里，利用智能手机接单，在一定时间取餐送达地点，工作内容简单有趣，简单易学，快速上手。
新疆金晟泰佑信息科技有限公司（金晟泰佑（美团合作商））,今天,1,0,送餐员/外卖骑手,7899-10000元/月,急急急！招骑手提供车辆,月结工资 不需要 公司提供车 话补 交通补助 饭补 加班补助 包吃 年底双薪 房补 包住 免费培训,招20人 学历不限 经验不限，可接收应届生,西安 - 经开区 - 常青路 西安经开区西安市经开区常青路A 查看地图,一，职位要求18-50周岁，吃苦耐劳，有无经验均可、会骑电动车、会看导航二、薪资待遇1、系统派单，每日平均单量50单左右2.综合月收入6000-9000元、上不封顶三、福利待遇1、公司缴纳人身意外、第三者以及工伤保险2、公司为所有员工提供住宿.提供电动车前期不需要缴纳任何费用，无押金，站内统一采用系统派单模式，无需个人抢单，多干多得
许昌雷风哥网络科技有限公司,今天,5,0,送餐员/外卖骑手,8000-9000元/月,高薪诚聘配送员,月结工资 不需要 美团 熟练驾驶电动 公司提供车 健康证 加班补助 包住,招20人 学历不限 经验不限,西安 - 高新区 - 陕西大会堂 西安高新区丈八六路与丈八西路延伸线里花水社区 查看地图,薪资待遇：1：薪资结构：单量乘以单价+综合福利补贴2：综合单价5-83：每日单量：轻松跑：40-50单 认真跑：60单左右 辛苦跑：70-90+单4：综合薪资：7000-9000元5：福利待遇：全勤奖元 200，恶劣天气，重量距离，时段补贴，0-80不等。6： 工资发放：次月20号，入职15天可以根据单量预支工资。高可达单量的百分之30-507： 上班时间：上午10-下2点 下午5点-晚上9点 中间可休息1.5-2个小时 有早晚班另算8：住宿车辆：公司提供住宿和车辆，前期部分站点可0元入职。宿舍有热水　空调　洗衣机。【岗位职责]1.根据配送平台提示到商家地址取餐，并在要求时间内准时快速送达客户手中；2.按照公司要求完成配送服务；3.对顾客反馈的订单问题及时解决与处理。【任职资格要求】：1.有无经验均可，18-50周岁2，会骑电瓶车，会用智能手机看导航３，没有刑事责任前科【工作地点】：全西安可根据个人所在区域就近安排地址也可提供住宿自己选择想去的区域
新疆金晟泰佑信息科技有限公司（金晟泰佑（美团合作商））,今天,1,0,送餐员/外卖骑手,8200-10000元/月,站点爆单急招送餐外卖员,包住 饭补 话补 加班补助 交通补助 包吃 年底双薪,招20人 学历不限 经验不限,西安 - 碑林 - 东关正街 西安碑林西安市碑林区东关正街 查看地图,一，职位要求18-50周岁，吃苦耐劳，有无经验均可、会骑电动车、会看导航二、薪资待遇1、系统派单，每日平均单量60单左右2.综合月收入8000-10000元、上不封顶三、福利待遇1、公司缴纳人身意外、第三者以及工伤保险2、公司为所有员工提供住宿.提供电动车前期不需要缴纳任何费用，无押金，站内统一采用系统派单模式，无需个人抢单，多干多得。
重庆欧速达企业管理有限公司（饿了么配送合作商）,今天,22,0,送餐员/外卖骑手,7000-12000元/月,急招送餐员就近安排,使用智能手机 熟悉地形 骑电动车 加班补助,招10人 学历不限 经验不限,西安 - 新城 - 胡家庙 西安新城樱花路胡家庙小区西安胡家庙铁路小区3号楼 查看地图,职位描述【全城站点直招外卖骑手送餐员（新手外卖骑手可以老骑手一带一上岗培训），免费提供配车一一不收任何押金——不收取任何费用 ，零费用入职！！！工作内容：1、送餐员负责接外卖系统派的订单，按照订单信息准确及时地将餐品送到客户手中。2、配送的物品：外卖食品，配送范围三公里以内3、新员工入职，有老员工带。【招聘条件】1、18周岁-45周岁，品行端正，无案底2、有无经验均可，要求会骑电动车，会使用智能手机导航。3、公司不收取任何押金，不以任何形式扣员工工资等行为。【薪资待遇】单价6-10元/单，每天35到60单=月薪 6000-12000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 6000元左右稍微努力 8000元左右使劲干 10000元以上年轻人嘛，连一个尝试的机会都不给自己，何提奋斗一说？【工作地点】全西安就近分配站点【其他福利】（1）传统节日发放节日礼品【任职资格】1、有无经验均可，只要你会骑电动车（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）
北京三快到家科技有限公司（美团配送合作商）,今天,22,0,送餐员/外卖骑手,7000-10000元/月,急招骑手可预支管食宿,交通补助 话补 年底双薪 加班补助 饭补 房补,招30人 学历不限 经验不限,西安 - 未央 - 大明宫 西安未央兴盛园1-1-101 查看地图,月综合工资6000-10000上不封顶日单量35-45单月薪5500-6500初级骑手日单量60-70单月薪7000-8000初级骑手正常跑日单量70-80单月薪8000-12000需要努力点工作内容：1配送餐饮，奶茶，超市，日常药品， 母婴，日用百货等，再送餐软件进行接单配送，无需抢单，软件自带导航配送至客户手中。进行无接触配送，送至小区楼下即可。岗位要求：1，有无经验均可，入职会有老员工带你熟悉商家路线；2，学历不是你的硬指标，会骑电动车，熟悉路线，会使用智能手机导航即可；3，年龄18---50岁之间（未成年人干不了），身体健康；无犯罪记录4.想挣钱的，干过外卖的优先，踏实肯干工作时间：早上10:00---14:00；晚上17:00---21:00每月满勤26天。薪资待遇：1，底薪2700--3300+单量提成+奖励+补助（系统派单，无需抢单）每单基础提成5--9元/单，月综合工资6K---12K，上不封顶，多劳多得。2，公司提供住宿，空调，洗衣机，热水器等齐全（面试通过后当天即可安排）；3，有车可自备，无车公司提供车辆，无费用无押金，衣服，头盔，保温箱公司免费发放。4，表现优秀者，公司提供各种内部晋升和公平竟聘机会，为员工提供良好的职业发展规划；晋升路径：骑手--组长--副站长--站长--区域经理；福利补贴：全勤奖+服务奖+车补+话补+冲单奖+单量补贴+年终奖；免费购买商业保险；本岗位长期招聘，有兴趣可投简历，也可以直接拨打招聘热线，欢迎你随时加入！！！年龄要求18---50岁之间，未满18或者是超过50岁请勿投简历哦
西安配骑科技有限公司,今天,1,0,送餐员/外卖骑手,7999-13789元/月,招大量的送餐员提供吃住,公司提供车 包住 包吃 交通补助 加班补助 饭补 话补 五险一金,招12人 学历不限 经验不限，可接收应届生,西安 - 雁塔 - 小寨 西安雁塔雁塔区小寨18号 查看地图,月综合工资7000-10000元（上不封顶）日单量35-45单 月薪5500-6500（初月新手）日单量60-70单 月薪7000-8000（初级正常跑）日单量70-80单 月薪8000-10000（努力一点）每单5-10元之间吃饭高峰期跑单(2-3小时)，其余时间自由12：00—14：00 17：00—21：00晚上加班每单1元加班费月休4天车补500 房补200 话补 100 全勤200站点新人福利1500元（根据站点各有不同）工作内容：配送餐饭，奶茶，蔬菜，日常药品，在外卖软件上进行派单配送，自动导航配送至顾客手中，系统派单，无需抢单。前期有老师傅带跑，熟练后，自由进行配送，工作较自由。配送范围只有方圆3公里。进行无接触配送，送至小区门口和楼下均可。要求：18-50岁（未成年入不了）会骑车，会导航，会识汉字，无犯罪记录，能吃苦耐劳能长期干，打酱油的就算了。干过外卖的优先，熟悉道路的优先，心态良好。乐观的人优先。薪资：基础工资+提成+高温/补助2800~3300+新人福利1500，月工资6000以上，上不封顶+冲单奖（200-1000）+全勤奖200元
深圳瑞亨物流有限公司,今天,1,0,送餐员/外卖骑手,8000-14000元/月,送餐员不抢单配车就近安排,月结工资 不需要 饿了么 熟练驾驶电动 公司提供车 年底双薪 加班补助 早餐补贴夜宵补贴 入职师傅一对一带 大额补贴,招13人 学历不限 经验不限,西安 - 经开区 - 百花村 西安经开区太华北路369号万达广场大明宫店 查看地图,零费用入职！当天安排住宿！本公司郑重承诺：本公司办理入职是在站点直接面试（面试请认准站点直接招聘面试，直接联系工作人员，可以通过微信或者电话直接报名），全程不涉及任何的费用，当天面试入职需要住宿即可办理员工住宿。面试通过，当天办理入职。一、【岗位要求】：1)男女不限，年龄在18-50 周岁之间2）会使用智能手机，会骑电动车二、【工作时间】：10:00-14:00 17:00-21:00（注：此时间段为必须在岗时间，其它时间可自主安排吃饭、休息等）做六休一；工资有五千也有一万多，平均薪酬七千浮动，具体薪资看个人能力。三、【薪资待遇】：工作内容：入职下载接单APP，手机系统派单-接单-取货-送达至客户手中。（操作简单，一天上手）1、底薪+高额单量提成（提成每单6.5元）+保险（车险+人险+第三方责任险）+住宿（入职当天可入住）+配车（入职当天可配车）2、福利补贴：全勤奖+车补+话补+高温补贴等，综合工资8000—12000上不封顶，多劳多得！！每月20号发放工资打到银行卡3、每日工作八小时，每月上班28天，公休4天。加班采取个人自愿公司系统派单！只要你想赚钱，只要你能跑！不怕我们没有单，送餐范围2-3公里内.正常干6000---8000元/月.努力干8000---10000元/月.拼命干12000元/月以上（不封顶）单量爆多有保证，只要你能跑，没有挣不了的钱外卖行业是凭个人能力吃饭的行业，只要肯干，只要够狠，就能月薪过万，四、【任职资格】:1、有无经验均可，公司配备电动车，有师傅带（自己有车就带车公司出车补，如果没有的话公司给配备电动车，承诺不收取任何押金）2、学历不限（我们只看能力，只认付出，够狠你就来）（目标需要靠自己的付出去实现）四、【工作区域】：本公司分布整个大西安区域（可按个人所住区域就近安排，公司可以提供住宿），配送范围站点周边3公里以内五、【福利待遇】:公司提供车辆，提供住宿，入职办理保险。1.不要问我收不收取费用（我们无任何费用押金，当天安排站点住宿）2.不要问我路不熟怎么办（新员工都有老员工亲自带路，直到上手熟悉为止）3.不要问我没干过能不能拿到这么高工资（全西安几万个骑手，平均工资都在8000以上，多劳多得）社会竞争激烈，没有梦想甘当咸鱼？各位感兴趣的朋友赶紧迈出这步加入我们！
深圳瑞亨物流有限公司,今天,1,0,送餐员/外卖骑手,8000-14000元/月,送餐员+不怕苦+工资翻倍,月结工资 不需要 饿了么 熟练驾驶电动 公司提供车 年底双薪 加班补助 早餐补贴夜宵补贴 入职师傅一对一带 大额补贴,招23人 学历不限 经验不限,西安 - 经开区 - 常青路 西安经开区常青路附近就近安排 查看地图,站点招聘长期、短期骑手岗位要求：18-50岁，会骑电动车，会看导航，无前科。岗位职责：在站点的送餐范围内取餐并送到顾客手中。工作时间：10:00-14:00，17:00-21:00，其余时间自由安排。薪资待遇：底薪3000，每单提成6-12元不等，综合月薪8000-14000元，多劳多得无上限。工作地址：所有站点均可就近安排工作地址：各个站点均有宿舍可安排住宿，有车自带，无车 站点解决配车。郑重承诺：站点直招，站点直招，面试入职无任何押金保证金费用！
西安配骑科技有限公司,今天,1,0,送餐员/外卖骑手,7999-13987元/月,诚聘外卖员提供吃住车,公司提供车 包住 包吃 交通补助 加班补助 饭补 话补 五险一金,招12人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 城西客运站 西安莲湖西咸新区沣东新城三桥街道大庆西路百花一村27号 查看地图,月综合工资7000-10000元（上不封顶）日单量35-45单 月薪5500-6500（初月新手）日单量60-70单 月薪7000-8000（初级正常跑）日单量70-80单 月薪8000-10000（努力一点）每单5-10元之间吃饭高峰期跑单(2-3小时)，其余时间自由12：00—14：00 17：00—21：00晚上加班每单1元加班费月休4天车补500 房补200 话补 100 全勤200站点新人福利1500元（根据站点各有不同）工作内容：配送餐饭，奶茶，蔬菜，日常药品，在外卖软件上进行派单配送，自动导航配送至顾客手中，系统派单，无需抢单。前期有老师傅带跑，熟练后，自由进行配送，工作较自由。配送范围只有方圆3公里。进行无接触配送，送至小区门口和楼下均可。要求：18-50岁（未成年入不了）会骑车，会导航，会识汉字，无犯罪记录，能吃苦耐劳能长期干，打酱油的就算了。干过外卖的优先，熟悉道路的优先，心态良好。乐观的人优先。薪资：基础工资+提成+高温/补助2800~3300+新人福利1500，月工资6000以上，上不封顶+冲单奖（200-1000）+全勤奖200元
常州及时达网络科技有限公司,今天,18,0,送餐员/外卖骑手,6000-12000元/月,站点直招0元入职无押金,房补 话补 年底双薪 交通补助 加班补助 饭补 包住 包吃 暖冬奖 新人入职奖 提供车子住宿预支,招30人 学历不限 经验不限，可接收应届生,苏州 - 吴江 苏州吴江吴江区万宝财富广场 查看地图,面试通过当天可以姑苏城区 | 爆单区招外卖员+系统派单办理入职，当天就可以上班，没有试用期，公司提供车子不熟悉周边路线的有老员工带领熟悉，站点会给下载专用的APP导航，可以根据导航配送岗位要求：1，年龄18-50岁，男女不限，会骑电动车，会使用手机导航2，通过APP接收订单，把商品从商家送到客户位置3，负责区域内的商品货物及时送达，（配送时间相比较充足）配送范围1-3公里，近距离配送范围操作熟练路线熟悉了之后一次携带5-14单不等（系统派单，一条线路上的）送完回店里休息一下接着拿单子送，平均人均单量60-80单，单价5-8元一单，上不封顶，多劳多得，不强求送单相对来说比较自由，无约束4：原始单价+冲单奖+全勤奖+福利补贴+话补+房补+等各种补贴，入职购买保险，综合日均收入200-500元左右:5：月综合工资收入8000-15000，上不封顶，多劳多得，路线熟悉后大多兄弟们月入10000以上，实实在在的收入，大部分人员都是能拿到手的工资正常干：8000-10000元努力干：10000-15000元（上不封顶，多劳多得）住宿：为骑手提供站点附近就近宿舍。3-5人间，空调，洗衣机，洗浴间，wifi温馨提示：本公司站点直招，直接站点面试，有意向请投递或者请拨打电话详细了解！
